,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,system_attrs_fail_reason,state
87,87,47.1902218,2021-01-18 23:26:05.386962,2021-01-18 23:52:45.957505,0 days 00:26:40.570543,relu,0.09999999999999999,0.98,0.9999,0.9999999999999999,0.019779997795288173,linear,5.0,2048,small,False,False,True,0.9999999999999999,,COMPLETE
88,88,-1186.009804,2021-01-18 23:27:03.130462,2021-01-18 23:35:04.753597,0 days 00:08:01.623135,relu,0.023858795506711338,1.0,0.999,0.9999999999999999,1e-05,linear,5.0,2048,small,False,False,True,0.9999999999999999,,PRUNED
89,89,-627.3201793999999,2021-01-18 23:28:26.292507,2021-01-18 23:36:32.743681,0 days 00:08:06.451174,relu,0.09999999999999999,1.0,0.9999,0.9999999999999999,1e-05,linear,5.0,2048,small,False,False,True,0.9999999999999999,,PRUNED
90,90,-925.119649,2021-01-18 23:32:18.408491,2021-01-18 23:40:22.833944,0 days 00:08:04.425453,relu,0.09999999999999999,1.0,0.9999,0.9999999999999999,1e-05,linear,5.0,2048,small,False,False,True,0.9999999999999999,,PRUNED
91,91,43.0907244,2021-01-18 23:35:04.789806,2021-01-19 00:00:57.106648,0 days 00:25:52.316842,relu,0.09999999999999999,0.98,0.9999,0.9999999999999999,0.01977978203405328,linear,5.0,2048,small,False,False,True,0.9999999999999999,,COMPLETE
92,92,-335.1744694,2021-01-18 23:36:32.785067,2021-01-18 23:44:42.036809,0 days 00:08:09.251742,relu,0.09999999999999999,1.0,0.9999,0.9999999999999999,1e-05,linear,5.0,2048,small,False,False,True,0.9999999999999999,,PRUNED
93,93,-1290.5523552000002,2021-01-18 23:40:22.845598,2021-01-18 23:48:32.745646,0 days 00:08:09.900048,relu,0.09999999999999999,1.0,0.9999,0.9999999999999999,1e-05,linear,5.0,2048,small,False,False,True,0.9999999999999999,,PRUNED
94,94,-533.5009815999999,2021-01-18 23:44:42.088662,2021-01-18 23:52:49.874968,0 days 00:08:07.786306,relu,0.09999999999999999,1.0,0.9999,0.9999999999999999,1e-05,linear,5.0,2048,small,False,False,True,0.9999999999999999,,PRUNED
95,95,43.5745026,2021-01-18 23:48:32.761174,2021-01-19 00:11:52.560242,0 days 00:23:19.799068,relu,0.09999999999999999,0.98,0.9999,0.9999999999999999,0.019776357406744712,linear,5.0,2048,small,False,False,True,0.9999999999999999,,COMPLETE
96,96,,2021-01-18 23:52:46.057975,2021-01-19 00:23:17.915184,0 days 00:30:31.857209,relu,0.09999999999999999,0.8,0.9999,0.9999999999999999,0.9999999999999999,linear,5.0,8,small,False,False,True,0.44588379522306504,"Trial 96 failed, because the objective function returned nan.",FAIL
97,97,48.5592162,2021-01-18 23:52:49.896969,2021-01-19 00:23:21.680810,0 days 00:30:31.783841,relu,1.0001537717858402e-08,0.8,0.9,0.9999999999999999,1.0000688278475752e-05,linear,5.0,8,small,True,False,True,0.0,,COMPLETE
98,98,,2021-01-19 00:00:57.184374,2021-01-19 00:10:24.827917,0 days 00:09:27.643543,relu,0.09999999999999999,0.8,0.9999,0.9999999999999999,0.9999999999999999,linear,5.0,8,small,False,False,True,0.0,,PRUNED
99,99,46.9289168,2021-01-19 00:10:24.840254,2021-01-19 00:39:21.374367,0 days 00:28:56.534113,relu,1.0002051241391961e-08,0.8,0.9,0.9999999999999999,1.0003632412802738e-05,linear,5.0,8,small,True,False,False,0.0,,COMPLETE
100,100,,2021-01-19 00:11:52.593567,2021-01-19 00:20:22.838522,0 days 00:08:30.244955,relu,0.09999999999999999,0.8,0.9999,0.9999999999999999,0.9999999999999999,linear,5.0,8,small,False,False,True,0.0,,PRUNED
101,101,,2021-01-19 00:20:22.855841,2021-01-19 00:28:51.269792,0 days 00:08:28.413951,relu,0.09999999999999999,0.8,0.9999,0.9999999999999999,0.9999999999999999,linear,5.0,8,small,False,False,True,0.0,,PRUNED
