,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,state
82,82,0.75,2020-11-19 22:59:42.270674,2020-11-19 23:00:56.233232,0 days 00:01:13.962558,relu,0.01770125942113978,0.95,0.9,-1.4046122153421816,0.6779559045329264,linear,0.5,128.0,medium,False,False,False,0.7988878826478729,PRUNED
83,83,0.0,2020-11-19 22:59:59.180578,2020-11-19 23:01:23.695042,0 days 00:01:24.514464,tanh,0.008523248966269017,1.0,0.995,-2.884260205561423,0.2921964232891826,constant,1.0,32.0,medium,False,True,False,0.6876423344538863,PRUNED
84,84,0.75,2020-11-19 23:00:56.252191,2020-11-19 23:02:28.838023,0 days 00:01:32.585832,tanh,0.022196478403008785,0.95,0.9999,-3.2159429764689693,2.60234834747123e-05,linear,0.8,16.0,medium,False,True,True,0.667023295099755,PRUNED
85,85,0.75,2020-11-19 23:01:21.530120,2020-11-19 23:02:32.373905,0 days 00:01:10.843785,relu,0.001466488554996108,1.0,0.995,-2.3512325506528646,0.0050892634416505695,linear,0.7,2048.0,medium,False,False,True,0.918378385355286,PRUNED
86,86,1.0486509799957275,2020-11-19 23:01:23.711099,2020-11-19 23:06:05.468096,0 days 00:04:41.756997,relu,0.0015384988739090423,0.95,0.999,-2.894890513803355,0.018076791092879938,linear,5.0,32.0,small,True,False,False,0.6111730100928432,COMPLETE
87,87,2.6583967208862305,2020-11-19 23:02:28.858462,2020-11-19 23:06:32.632471,0 days 00:04:03.774009,relu,0.07046510817044759,0.95,0.9999,-0.5952643936705617,0.0018734509153012957,constant,0.6,512.0,small,True,True,True,0.18773143657499403,COMPLETE
88,88,0.75,2020-11-19 23:02:32.393690,2020-11-19 23:03:48.198509,0 days 00:01:15.804819,relu,6.907556632457139e-07,1.0,0.98,-1.9464147224905686,0.10832477586202793,linear,0.5,64.0,small,False,False,False,0.6175953821214356,PRUNED
89,89,0.75,2020-11-19 23:03:48.217075,2020-11-19 23:04:58.670930,0 days 00:01:10.453855,tanh,3.6334793001100544e-05,0.98,0.99,-3.713245265492714,0.010810247340027328,constant,0.7,512.0,small,False,True,True,0.6900971900359851,PRUNED
90,90,0.0,2020-11-19 23:04:58.688665,2020-11-19 23:06:15.421154,0 days 00:01:16.732489,tanh,0.0018910506873862463,0.95,0.99,-3.3110518458021447,0.09035180699906672,linear,0.6,64.0,medium,False,False,False,0.7015920863589494,PRUNED
91,91,0.75,2020-11-19 23:06:05.508330,2020-11-19 23:07:04.097944,0 days 00:00:58.589614,tanh,2.4472655415523355e-06,0.92,0.9,-2.816696920431916,1.744000398069589e-05,linear,0.7,256.0,medium,False,True,True,0.019849716168433118,PRUNED
92,92,0.75,2020-11-19 23:06:15.440242,2020-11-19 23:07:07.514673,0 days 00:00:52.074431,tanh,1.253207035882626e-07,0.95,0.98,-1.9516666934820406,0.05105458272176619,constant,5.0,1024.0,medium,True,True,True,0.564048507482023,PRUNED
