#{"t_start": 1605916160.06421, "env_id": "fishing-v1"}
r,l,t
0.75,1,4.64414
0.75,1,4.646244
0.75,1,4.648185
0.75,1,4.65034
0.75,1,4.652466
0.75,1,4.654683
0.75,1,4.656725
0.75,1,4.658596
0.75,1,4.660794
0.75,1,4.662834
0.75,1,4.664798
0.75,1,4.666843
0.75,1,4.669098
0.75,1,4.671481
0.75,1,4.673145
0.75,1,4.674951
0.75,1,4.676801
0.75,1,4.678714
0.75,1,4.680419
0.75,1,4.68214
0.75,1,4.684472
0.75,1,4.686928
0.75,1,4.689386
0.75,1,4.69161
0.75,1,4.693961
0.75,1,4.695747
0.75,1,4.697699
0.75,1,4.699527
0.75,1,4.701437
0.75,1,4.703604
0.75,1,4.705395
0.75,1,4.707375
0.75,1,4.709017
0.75,1,4.710604
0.75,1,4.712301
0.75,1,4.714265
0.75,1,4.716344
0.75,1,4.718408
0.75,1,4.720525
0.75,1,4.722514
0.75,1,4.724684
0.75,1,4.72654
0.75,1,4.728306
0.75,1,4.730076
0.75,1,4.731997
0.75,1,4.733771
0.75,1,4.735663
0.75,1,4.737673
0.75,1,4.739701
0.75,1,4.741373
0.75,1,4.743225
0.75,1,4.745686
0.75,1,4.747826
0.75,1,4.749619
0.75,1,4.751269
0.75,1,4.752972
0.75,1,4.754615
0.75,1,4.756499
0.75,1,4.758476
0.75,1,4.760369
0.75,1,4.762388
0.75,1,4.764359
0.75,1,4.766113
0.75,1,4.768094
0.75,1,4.76988
0.75,1,4.771809
0.75,1,4.773571
0.75,1,4.775183
0.75,1,4.776965
0.75,1,4.778792
0.75,1,4.780887
0.75,1,4.782838
0.75,1,4.784541
0.75,1,4.786029
0.75,1,4.787633
0.75,1,4.789443
0.75,1,4.791085
0.75,1,4.793075
0.75,1,4.795232
0.75,1,4.797023
0.75,1,4.79891
0.75,1,4.800633
0.75,1,4.802551
0.75,1,4.804619
0.75,1,4.806651
0.75,1,4.808589
0.75,1,4.81072
0.75,1,4.812729
0.75,1,4.814745
0.75,1,4.816856
0.75,1,4.818715
0.75,1,4.820688
0.75,1,4.822891
0.75,1,4.825115
0.75,1,4.827104
0.75,1,4.829017
0.75,1,4.831193
0.75,1,4.833234
0.75,1,4.835234
0.75,1,4.837138
0.75,1,4.839039
0.75,1,4.841016
0.75,1,4.842979
0.75,1,4.845507
0.75,1,4.848497
0.75,1,4.850871
0.75,1,4.852877
0.75,1,4.85519
0.75,1,4.85712
0.75,1,4.859083
0.75,1,4.860914
0.75,1,4.862929
0.75,1,4.865377
0.75,1,4.867871
0.75,1,4.870193
0.75,1,4.872702
0.75,1,4.874796
0.75,1,4.876807
0.75,1,4.878822
0.75,1,4.881039
0.75,1,4.883151
0.75,1,4.885474
0.75,1,4.887647
0.75,1,4.890356
0.75,1,4.892555
0.75,1,4.894405
0.75,1,4.896399
0.75,1,4.89862
0.75,1,4.900717
0.75,1,4.90281
0.75,1,4.905201
0.75,1,4.907347
0.75,1,4.909194
0.75,1,4.911306
0.75,1,4.913399
0.75,1,4.91578
0.75,1,4.917715
0.75,1,4.919503
0.75,1,4.921238
0.75,1,4.923355
0.75,1,4.925831
0.75,1,4.928184
0.75,1,4.930461
0.75,1,4.932604
0.75,1,4.934864
0.75,1,4.937109
0.75,1,4.939518
0.75,1,4.941812
0.75,1,4.943861
0.75,1,4.945541
0.75,1,4.947634
0.75,1,4.949521
0.75,1,4.951857
0.75,1,4.953645
0.75,1,4.956037
0.75,1,4.958524
0.75,1,4.960927
0.75,1,4.96321
0.75,1,4.965618
0.75,1,4.968029
0.75,1,4.970578
0.75,1,4.972892
0.75,1,4.975214
0.75,1,4.977812
0.75,1,4.979884
0.75,1,4.981821
0.75,1,4.98368
0.75,1,4.985509
0.75,1,4.987467
